,Año,DUA,Item del DUA,Fecha DUA,Aduana,Regimen,Modalidad,Importador,Proveedor,Marca,Modelo,Factura,Código SAC,CodSA,Modo transporte,País de Origen,Pais de Procedencia,Pais de Adquisición,Cantidad,Unidad de Medida,Volúmen Físico,Cantidad de bultos,Valor FOB US$,Valor FOB US$ por unidad,Costo flete US$,Costo seguro US$,Valor CIF US$,Valor CIF US$  unitario,Valor en Aduana US$,Peso neto Kg.,Peso bruto Kg.,Peso bruto en Lbs.,Descripción de Mercancía,ID Declarante,Declarante,ID Agente Aduanero,Agente aduanero,ID Localización,Localización,% IVA,Total IVA US$,% Ley 6946,Total Ley 6946 US$,% DAI,Total DAI US$,COSTO por PROCOMER US$,% S.C,Total SC US$,Otros impuestos US$,Total de Impuestos,Descripción 
count,178434,178434,178434.0,178434,178434,178434,178434,178434,178434,178434,178434,178434,178434.0,178434.0,178434,178434,178434,178434,178434.0,178434,178434.0,178434.0,178434.0,178434.0,178434.0,178434.0,178434.0,178434.0,178434.0,178434.0,178434.0,178434.0,178434,178434.0,178434,178434.0,178434,178434,178434,178434.0,178434.0,178434.0,178434.0,178434.0,178434.0,178434.0,178434.0,178434.0,178434.0,178434.0,178434
unique,3,4176,,,1,1,2,2,12,16,33,80856,,,1,4,5,3,,2,,,,,,,,,,,,,167718,,5,,5,4,4,6.0,,8.0,,11.0,,,16.0,,,,456
top,2021,005-2023-732459,,,SANTAMARIA,IMPORTACION DEFINITIVA,ENTREGA RAPIDA,ExpediteX,No disponible,No disponible,No disponible,SN,,,AEREO,Estados Unidos,Estados Unidos,Estados Unidos,,UNIDAD (C/U),,,,,,,,,,,,,JUGUETE,,ExpediteX,,QUESADA VARGAS SERGIO ALBERTO,P001,AERIS HOLDING COSTA RICA S.A.,13.0,,1.0,,14.0,,,0.0,,,,"TRICICLOS, PATINETES, COCHES DE PEDAL Y JUGUETES SIMILARES CON RUEDAS; COCHES Y   SILLAS   DE   RUEDAS   PARA   MUÑECAS   O MUÑECOS;    MUÑECAS    O    MUÑECOS;    LOS DEMÁS  JUGUETES;  MODELOS  REDUCIDOS  Y MODELOS                 SIMILARES,                 PARA ENTRETENIMIENTO,     INCLUSO     ANIMADOS; ROMPECABEZAS DE CUALQUIER CLASE"
freq,73032,480,,,178434,178434,178357,143547,178393,178357,178357,31241,,,178434,178416,158871,178416,,178432,,,,,,,,,,,,,205,,143530,,143530,178357,178357,169340.0,,93314.0,,56616.0,,,96091.0,,,,13455
mean,,,63.527012789042445,2022-06-23 05:30:13.497427968,,,,,,,,,735407772048.2356,7353.581458690608,,,,,1.8912572715962204,,1.1131325868388313,0.7551699788156966,43.680059125502986,37.91100356434312,6.14615493683939,0.46490164430545755,50.29111570664784,43.553100137866096,50.30011382359864,4.288539291839,4.290635641189461,9.459135334566282,,310003371966.215,,33155674523.136326,,,,,6.062704137103916,,0.3763091114922045,,3.5016893080915064,0.06688187228891355,,0.8125469361220393,0.0030289070468632663,10.823160272145445,
min,,,1.0,2021-01-04 00:00:00,,,,,,,,,250830000000.0,2508.0,,,,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.04,0.89,0.0,0.01,0.022046000000000003,,108770907.0,,108770907.0,,,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,
25%,,,12.0,2021-08-05 00:00:00,,,,,,,,,620630000000.0,6206.0,,,,,1.0,,1.0,0.0,8.4,6.8,2.33,0.11,11.61,9.51,11.61,1.17,1.17,2.579382,,310131417809.0,,110430673.0,,,,,0.25,,0.0,,0.0,0.0,,0.0,0.0,0.5900000000000001,
50%,,,46.0,2022-04-06 00:00:00,,,,,,,,,840991000000.0,8409.0,,,,,1.0,,1.0,1.0,16.0,13.18,3.5,0.2,21.3,17.03,21.3,2.31,2.33,5.136718,,310131417809.0,,110430673.0,,,,,2.23,,0.14,,0.94,0.0,,0.0,0.0,3.94,
75%,,,100.0,2023-05-17 00:00:00,,,,,,,,,854442100090.0,8544.0,,,,,1.0,,1.0,1.0,39.98,32.78,7.0,0.44,47.92,40.4,47.92,5.0,5.0,11.023,,310131417809.0,,110430673.0,,,,,5.79,,0.36,,3.32,0.0,,0.0,0.0,10.43,
max,,,480.0,2023-12-28 00:00:00,,,,,,,,,970690000000.0,9706.0,,,,,19100.0,,84.0,23.0,985.5,985.5,595.0,14.4,1057.96,1046.23,1152.61,290.0,290.0,639.3340000000001,,310160727126.0,,186200379312.0,,,,,190.89,,11.53,,161.37,3.0,,242.51,12.0,476.31,
std,,,60.20267163871778,,,,,,,,,,184433391843.55847,1844.4161597873483,,,,,47.754202635851364,,1.145815749408512,0.5177646257387822,84.62587886201209,77.87654397517298,9.247828245732151,0.8239970547071818,88.9402965753693,81.50318629686399,88.97573386970461,9.521905656175562,9.523177153561353,20.994796352741357,,6438088988.808807,,71099653551.2774,,,,,12.400668593634077,,0.7977611535952889,,8.447561290320534,0.4429148128520406,,5.652555261770566,0.06598966719562863,23.05286038014791,
